Center X: 108.500000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.000000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.500000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.500000, Center Y: 125.500000
Center X: 141.500000, Center Y: 161.000000
Center X: 108.500000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.500000, Center Y: 126.000000
Center X: 141.500000, Center Y: 161.500000
Center X: 109.000000, Center Y: 160.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 109.500000, Center Y: 126.000000
Center X: 141.500000, Center Y: 161.500000
Center X: 109.000000, Center Y: 160.500000
Center X: 109.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 142.000000, Center Y: 161.500000
Center X: 109.000000, Center Y: 160.500000
Center X: 109.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 125.000000
Center X: 142.000000, Center Y: 161.500000
Center X: 109.000000, Center Y: 160.500000
Center X: 109.500000, Center Y: 126.500000
Center X: 142.500000, Center Y: 125.500000
Center X: 142.000000, Center Y: 161.500000
Center X: 109.000000, Center Y: 160.500000
Center X: 110.000000, Center Y: 126.500000
Center X: 142.500000, Center Y: 125.500000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.000000
Center X: 110.000000, Center Y: 126.500000
Center X: 142.500000, Center Y: 125.500000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.000000
Center X: 110.000000, Center Y: 126.500000
Center X: 142.500000, Center Y: 125.500000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 110.000000, Center Y: 126.500000
Center X: 142.500000, Center Y: 125.500000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 142.500000, Center Y: 126.000000
Center X: 110.000000, Center Y: 127.000000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 142.500000, Center Y: 126.000000
Center X: 110.000000, Center Y: 127.000000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 142.500000, Center Y: 126.000000
Center X: 110.000000, Center Y: 127.000000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 110.500000, Center Y: 127.500000
Center X: 142.500000, Center Y: 126.000000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 110.500000, Center Y: 127.500000
Center X: 142.500000, Center Y: 126.000000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 161.500000
Center X: 110.500000, Center Y: 127.500000
Center X: 142.500000, Center Y: 126.000000
Center X: 142.000000, Center Y: 162.000000
Center X: 109.000000, Center Y: 162.000000
Center X: 110.500000, Center Y: 127.500000
Center X: 142.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 162.500000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.000000
Center X: 142.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 162.500000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.000000
Center X: 142.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 162.500000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.000000
Center X: 142.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 126.500000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.000000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 110.000000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 110.000000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 110.000000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 110.000000, Center Y: 162.500000
Center X: 110.500000, Center Y: 128.500000
Center X: 142.500000, Center Y: 127.000000
Center X: 142.500000, Center Y: 163.000000
Center X: 109.500000, Center Y: 162.500000
