Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.500000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 76.500000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 76.500000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 76.500000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 57.500000, Center Y: 143.000000
Center X: 76.500000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.500000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 77.000000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
Center X: 76.500000, Center Y: 143.500000
Center X: 58.000000, Center Y: 143.000000
Center X: 76.500000, Center Y: 123.500000
Center X: 58.500000, Center Y: 123.500000
